,Unnamed: 0,tweet_id,user_id,user_name,text,time,retweets,favorited,place,geo
4,4,1011980886806548480,39789111,natehyde,RT @FedExNews: .@FedEx named one of the 2018 Best Workplaces for Millennials by Fortune Magazine. Learn more: https://t.co/uPKBtrtkB5 https…,Wed Jun 27 14:33:39 +0000 2018,32,0,,
0,0,1044676908171120640,1444700376,418_lissa,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Tue Sep 25 19:55:58 +0000 2018,32,0,,
0,0,1044336151027486721,338531502,DiebytheSword66,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 21:21:55 +0000 2018,32,0,,
0,0,1044323439408951296,862004587,SteveoR6,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 20:31:25 +0000 2018,32,0,,
0,0,1044375069462605824,737946840,Nstalker91894,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 23:56:34 +0000 2018,32,0,,
0,0,1044374153917169664,998558480108679168,kazart1222,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 23:52:56 +0000 2018,32,0,,
0,0,1044565183585296385,165122202,StevenSalced,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Tue Sep 25 12:32:01 +0000 2018,32,0,,
0,0,1044365185014624258,445927215,igossometalzeyo,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 23:17:18 +0000 2018,32,0,,
0,0,1044309262950965253,22554784,matthewkheafy,Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0Ufy1CdJ5,Mon Sep 24 19:35:05 +0000 2018,32,188,,
0,0,1044321994299314176,939372205544230912,SGTMETALHEAD117,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 20:25:40 +0000 2018,32,0,,
0,0,1044369107074768896,4807360086,yu_pica_orcus,RT @matthewkheafy: Thanks @FedEx / @FedExHelp I need help. This was being setup for a tour next week. @Epiphone @EverTune8 https://t.co/b0U…,Mon Sep 24 23:32:53 +0000 2018,32,0,,
2,2,978656101632749568,39789111,natehyde,"RT @FedExNews: .@FedEx announces the acquisition of P2P, a leading provider of worldwide e-commerce transportation solutions. Learn more: h…",Tue Mar 27 15:32:51 +0000 2018,31,0,,
8,8,1039196677662535680,39789111,natehyde,RT @FedEx: We make millions of deliveries around the world every business day. But we deliver more than just packages or pallets. We delive…,Mon Sep 10 16:59:29 +0000 2018,30,0,,
0,0,1039951230234177536,134887156,FedEx,"RT @FoxBusiness: ""This is the right moment for us to move into a six-day configuration.""

@FedEx's Bob Henning said the company is gearing…",Wed Sep 12 18:57:49 +0000 2018,29,0,,
6,6,1032689650480148481,39789111,natehyde,"RT @FedEx: Hurricanes. Wildfires. Earthquakes. Floods. When devastating natural disasters hit North America in 2017, we delivered help and…",Thu Aug 23 18:02:53 +0000 2018,29,0,,
3,3,1029121601495883776,465094933,WesHauch,FWIW guitar buds - Don’t ship or insure with @FedEx. Some of you saw the pictures of the guitar that they damaged in shipping. They recently denied the insurance claim we put through. The claims process was murky and hard to navigate as well. Don’t waste your time or money.,Mon Aug 13 21:44:44 +0000 2018,23,154,,
3,3,1042538274030530561,754704901792489472,jbarnett71,RT @FedEx: Congrats to @myCryptoHippo of @JACentralON for winning the FedEx Junior Business Challenge at @playofffinale! FedEx will make a…,Wed Sep 19 22:17:48 +0000 2018,23,0,,
8,8,1044318079952539648,754704901792489472,jbarnett71,"RT @FedExEurope: For every fruit basket purchased by team Frankfurt, @fruitfuloffice plants a tree in Malawi. There’s nothing like fresh fr…",Mon Sep 24 20:10:07 +0000 2018,21,0,,
71,71,1044744851181498368,1018203082277212165,FedExInBikeLane,RT @Fresh_Kermit: A @FedEx driver has discovered @NYCEDC's South Street bikeway. https://t.co/dT3nm5LaWS,Wed Sep 26 00:25:57 +0000 2018,17,0,,
0,0,1044917203101986816,785256498481987584,niggiwwerdna,RT @Fresh_Kermit: A @FedEx driver has discovered @NYCEDC's South Street bikeway. https://t.co/dT3nm5LaWS,Wed Sep 26 11:50:49 +0000 2018,17,0,,
1,1,1040335483199533056,1665461508,julez_26,"RT @julez_26: @FedExHelp @FedEx @FedExPolicy Fed Ex in Fayetteville, NC has my mother’s Chemotherapy medication which she desperately needs…",Thu Sep 13 20:24:42 +0000 2018,16,0,,
0,0,1040325857208950787,1665461508,julez_26,"@FedExHelp @FedEx @FedExPolicy Fed Ex in Fayetteville, NC has my mother’s Chemotherapy medication which she desperately needs. I’m asking for help to get the package but the Fayetteville location is closed for Hurricane Florence.  Please, please I beg you to help me to help her!",Thu Sep 13 19:46:27 +0000 2018,16,19,,
35,35,1035596702366031872,1018203082277212165,FedExInBikeLane,RT @TPS_pke_rider: Thanks to @FedEx parking in the #BikeTO lane on St George St my #FridayFeeling has been ruined. I guess the driver didn’…,Fri Aug 31 18:34:28 +0000 2018,11,0,,
51,51,1040246782645682176,1018203082277212165,FedExInBikeLane,RT @bikelaneuprise: Delivery van of @FedEx parked in bike lane caused cyclist death.  We are not surprised.  @FedExHelp is documented illeg…,Thu Sep 13 14:32:14 +0000 2018,9,0,,
1,1,1042373386452774913,754704901792489472,jbarnett71,RT @FedExEurope: We’re excited to announce Sean Healy has been appointed as our new Regional COO for FedEx Express Europe. Sean joined FedE…,Wed Sep 19 11:22:36 +0000 2018,9,0,,
2,2,1042451506375680000,134887156,FedEx,RT @FedExEurope: We’re excited to announce Sean Healy has been appointed as our new Regional COO for FedEx Express Europe. Sean joined FedE…,Wed Sep 19 16:33:01 +0000 2018,9,0,,
39,39,1037385565136715776,1018203082277212165,FedExInBikeLane,"What kind of company, after receiving dozens of complaints about a specific driver breaking the law &amp; risking lives DAILY, fails to take action against that employee and effectively says ""carry on breaking the law""? @FedEx of course. @FedExHelp totally useless. #loadinglosers https://t.co/Lr1e4YkI3V",Wed Sep 05 17:02:47 +0000 2018,8,13,,
